题干,A,B,C,D,E,F,答案,uncertain,incorrect,question_index
"关于以下程序代码的说明正确的是（ ）
1． class HasStatic{
2． private static int x=100；
3． public static void main(String args[ ]){
4． HasStatic hs1=new HasStatic( );
5． hs1.x++;
6． HasStatic hs2=new HasStatic( );
7． hs2.x++;
8． hs1=new HasStatic( );
9． hs1.x++;
10． HasStatic.x- -;
11． System.out.println(""x=""+x);
12． }
13． }","5行不能通过编译,因为引用了私有静态变量","10行不能通过编译,因为x是私有静态变量","程序通过编译,输出结果为:x=103","程序通过编译,输出结果为:x=102",,,D,,1,0
"关于被私有访问控制符private修饰的成员变量,以下说法正确的是",可以被三种类所引用:该类自身、与它在同一个包中的其他类、在其他包中的该类的子类,可以被两种类访问和引用:该类本身、该类的所有子类,只能被该类自身所访问和修改,只能被同一个包中的类访问,,,C,,0,0
"关于被保护访问控制符protected修饰的成员变量,以下说法正确的是",可以被三种类所引用:该类自身、与它在同一个包中的其他类、在其他包中的该类的子类,可以被两种类访问和引用:该类本身、该类的所有子类,只能被该类自身所访问和修改,只能被同一个包中的类访问,,,A,,0,0
"给出下面的代码段
public class Base{
int w, x, y ,z;
public Base(int a,int b)
  {  x=a; y=b;  }
public Base(int a, int b, int c, int d){
________________
w=d;    z=c;
} }
在代码说明________处写入如下哪一个代码是正确的?【    】
",a=x; b=y;,"x=a, y=b;","super(a,b)","this(a,b)",,,D,,0,0
不允许作为类及类成员的访问控制符的是(      ).,public,private,static,protected,,,C,,0,0
Which of the following statements are true?,Constructors cannot have a visibility modifier,"Constructors can be marked public and protected, but not private",Constructors can only have a primitive return type,Constructors are not inherited,,,D,,0,0
Which of the following statements are true?,The default constructor has a return type of void,The default constructor takes a parameter of void,The default constructor takes no parameters and always exists,The default constructor is not created if the class has any constructors of its own,,,D,D,0,0
Which of the following statements are true?,The automatic garbage collection of the JVM prevents programs from ever running out of memory,Garbage collection is platform independent,An object becomes eligible for garbage collection when all references denoting it are set to null,A program can force that garbage collection be performed,,,C,C,0,0
Which of the following statements are NOT true?,static methods do not have access to the implicit variable called this,A static method may be called without creating an instance of its class,A static method may not be overriden to be non-static,"A static method may not be overloaded
",,,D,,1,0
Which of the following statements are NOT true?,All of the variables in an interface are implicitly static,All of the variables in an interface are implicitly final,All of the methods in an interface are implicitly abstract,A method in an interface can access class level variables,,,D,C,1,0
Which of the following statements are NOT true?,A method in an interface must not have a body,A class may extend one other class plus at most one interface,A class may extends at most one other class plus implement many interfaces,An class accesses an interface via the keyword implements,,,B,,0,0
Which of the following statements are not true,A default constructor is provided automatically if no constructors are explicitly declared in the class,At least one constructor must always be defined explicitly,The default constructor is a no-arg constructor,A default constructor always exist in class,,,B,D,1,0
Which of the following declares an abstract method in an abstract Java class?,public abstract method();,public abstract void method();,public void abstract Method();,public abstract void method() {},,,B,,0,0
Which of the following class definitions defines a legal abstract class?,class A { abstract void unfinished() { } },class A { abstract void unfinished(); },abstract class A { abstract void unfinished(); },public class abstract A { abstract void unfinished(); },,,C,,0,0
Which of the following are not true.,A static method may be invoked before even a single instance of the class is constructed,A static method cannot access non-static methods of the class,Abstract modifier can appear before a class or a method but not before a variable,final modifier can appear before a class or a variable but not before a method,,,D,,0,0
"What will happen when you try compiling and running this code? 

public class Ref{  
  public static void main(String argv[]){ 
Ref r = new Ref(); 
r.amethod(r);    
}   
 public void amethod(Ref r){ 
int i=99; multi(r);
 System.out.println(i);   
 }    
public void multi(Ref r){
 r.i = r.i*2;   
 }}",Error at compile time,An output of 99,An output of 198,An error at runtime,,,A,,1,0
"What will happen when you compile and run the following code? 
public class Scope{    
private int i;    
public static void main(String argv[]){ 
Scope s = new Scope(); 
s.amethod();    }//End of main    
public static void amethod(){ System.out.println(i);    
}//end of amethod
}//End of class",A value of 0 will be printed out,Nothing will be printed out,A compile time error,A compile time error complaining of the scope of the variable i,,,C,,1,0
"What will happen when you attempt to compile and run the following code.

public class Pvf{

static boolean Paddy;
public static void main(String argv[]){
        System.out.println(Paddy);
        }

}",Compile time error,compilation and output of false,compilation and output of true,compilation and output of null,,,B,,0,0
"What will be the result of attempting to compile and run the following code? 

abstract class MineBase { 
abstract void amethod(); 
static int i;
}
public class Mine extends MineBase { 
public static void main(String argv[]){
 int[] ar=new int[5]; 
for(i=0;i < ar.length;i++) 
System.out.println(ar[i]);
 }}",a sequence of 5 0's will be printed,Error: ar is used before it is initialized,Error Mine must be declared abstract,IndexOutOfBoundes Error,,,C,,0,0
"What modifier should you use on the members of a class so that they are not accessible to another class in a different package, but are accessible to any subclasses in any package?",public,private,protected,Use the default modifier,,,C,,0,0
What modifier should you use on a class so that a class in the same package can access it but a class in a different package cannot access it?,public,private,protected,Use the default modifier,,,D,,1,0
"What is wrong in the following code?
class TempClass {
  int i;
  public void TempClass(int j) {
    int i = j;
  }
}
public class C {
  public static void main(String[] args) {
    TempClass temp = new TempClass(2);
  }
}",The program has a compilation error because TempClass does not have a default constructor,The program has a compilation error because TempClass does not have a constructor with an int argument,"The program compiles fine, but it does not run because class C is not public",The program compiles and runs fine,,,B,,1,0
"What is the output of the following code:

public class Test {
  public static void main(String[] args) {
    Object o1 = new Object();
    Object o2 = new Object();
    System.out.print((o1 == o2) + "" "" + (o1.equals(o2)));
  }
}",false false,true true,false true,true false,,,A,,1,0
"What gets displayed on the screen when the following program is compiled and run. Select the one correct answer. 

protected class example {
 public static void main(String args[]) {
  String test = ""abc"";
  test = test + test;
  System.out.println(test);
 }
}",The class does not compile because the top level class cannot be protected,"The program prints ""abc""","The program prints ""abcabc""","The program does not compile because statement ""test = test + test"" is illegal",,,A,,0,0
Variables that are shared by every instances of a class are __________.,public variables,private variables,instance variables,class variables,,,D,,0,0
"To make a variable defined in a class accessible only to methods defined in the classes in same package, which of the following keyword should be used. Select the one correct answer",By using the keyword private before the variable,By using the keyword protected before the variable,By using the keyword public before the variable,The variable should not be preceded by any of the above mentioned keywords,,,D,,0,0
Test类中合法的构造方法是,test() { },Test() { },void Test() { },private final Test() { },,,B,,0,0
Select the one most appropriate answer. A top level class without any modifier is accessible to,any class,any class within the same package,any class within the same file,any subclass of this class,,,B,,0,0
"Given:
class CardBoard {
Short story = 200;
CardBoard go(CardBoard cb) {
cb = null;
return cb;
}
public static void main(String[] args) {
CardBoard c1 = new CardBoard();
CardBoard c2 = new CardBoard();
CardBoard c3 = c1.go(c2);
c1 = null;
// do Stuff
} }
When // doStuff is reached, how many objects are eligible for GC?",0,1,2,3,,,C,,1,0
"Given:
5. class A { void m() { System.out.println(""outer""); } }
6.
7. public class TestInners {
8. public static void main(String[] args) {
9. new TestInners().go();
10. }
11. void go() {
12. new A().m();
13. class A { void m() { System.out.println(""inner""); } }
14. }
15. class A { void m() { System.out.println(""middle""); } }
16. }
What is the result?",inner,outer,middle,Compilation fails,,,C,A,1,0
"Given:
3. public class Tour {
4. public static void main(String[] args) {
5. Cathedral c = new Cathedral();
6. // insert code here
7. s.go();
8. }
9. }
10. class Cathedral {
11. class Sanctum {
12. void go() { System.out.println(""spooky""); }
13. }
14. }
Which, inserted independently at line 6, compile and produce the output ""spooky",Sanctum s = c.new Sanctum();,c.Sanctum s = c.new Sanctum();,c.Sanctum s = Cathedral.new Sanctum();,Cathedral.Sanctum s = c.new Sanctum();,,,D,C,1,0
"Given:
3. public class Navel {
4. private int size = 7;
5. private static int length = 3;
6. public static void main(String[] args) {
7. new Navel().go();
8. }
9. void go() {
10. int size = 5;
11. System.out.println(new Gazer().adder());
12. }
13. class Gazer {
14. int adder() { return size * length; }
15. }
16. }
What is the result?",15,21,An exception is thrown at runtime,Compilation fails due to multiple errors,,,B,D,1,0
"Given:
1. // insert code here
2. class StatTest {
3. public static void main(String[] args) {
4. System.out.println(Integer.MAX_VALUE);
5. }
6. }
Which, inserted independently at line 1, compiles?",import static java.lang;,import static java.lang.Integer;,import static java.lang.Integer.*;,import static java.lang.Integer.*_VALUE;,,,C,,0,0
"Given two reference variables t1 and t2, if t1.equals(t2) is true, t1 == t2 ____",is always false,is always true,may be true or false,,,,C,C,0,0
"Given two files:
1. package pkgA;
2. public class Foo {
3. int a = 5;
4. protected int b = 6;
5. public int c = 7;
6. }
3. package pkgB;
4. import pkgA.*;
5. public class Baz {
6. public static void main(String[] args) {
7. Foo f = new Foo();
8. System.out.print("" "" + f.a);
9. System.out.print("" "" + f.b);
10.System.out.print("" "" + f.c);
11. }
12. }
  What is the result?",5 6 7,5 followed by an exception,Compilation fails with an error on line 7,Compilation fails with an error on line 8 and line 9,,,D,D,0,0
"Given the following code
public class Sytch{
int x=2000;
public static void main(String argv[]){
        System.out.println(""Ms ""+argv[1]+""Please pay $""+x);
        }

}
What will happen if you attempt to compile and run this code with the command line 
java Sytch Jones Diggle",Compilation and output of Ms Diggle Please pay $2000,Compile time error,Compilation and output of Ms Jones Please pay $2000,Compilation but runtime error,,,B,,0,0
"Given the declaration Circle[] x = new Circle[10], which of the following statement is most accurate?",x contains an array of ten int values,x contains an array of ten objects of the Circle type,x contains a reference to an array and each element in the array can hold a reference to a Circle object,x contains a reference to an array and each element in the array can hold a Circle object,,,D,,1,0
"Given the declaration Circle x = new Circle(), which of the following statement is most accurate.",x contains an int value,x contains an object of the Circle type,x contains a reference to a Circle object,You can assign an int value to x,,,C,,0,0
"Assume java.util.Date[] dates = new java.util.Date[10], which of the following statements are true?",dates is null,dates[0] is null,"dates = new Date() is fine, which creates a new Date object and assigns to dates",dates = new java.util.Date[5] is wrong,,,B,B,0,0
"Analyze the following code:
public class Test {
  public static void main(String args[]) {
    NClass nc = new NClass();
    nc.t = nc.t++;
  }
}
class NClass {
  int t;
  private NClass() {
  }
}",The program has a compilation error because the NClass class has a private constructor,The program does not compile because the parameter list of the main method is wrong,"The program compiles, but has a runtime error because t has no initial value",The program compiles and runs fine,,,A,,0,0
"Analyze the following code:
public class Test {
  private int t;
  public static void main(String[] args) {
    int x;
    System.out.println(t);
  }
}",The variable t is not initialized and therefore causes errors,The variable t is private and therefore cannot be accessed in the main method,t is non-static and it cannot be referenced in a static context in the main method,The variable x is not initialized and therefore causes errors,,,C,,0,0
"Analyze the following code:

class Circle {
  private double radius;
  
  public Circle(double radius) {
    radius = radius;
  }
}",The program has a compilation error because it does not have a main method,"The program will compile, but you cannot create an object of Circle with a specified radius. The object will always have radius 0",The program has a compilation error because you cannot assign radius to radius,The program does not compile because Circle does not have a default constructor,,,B,,0,0
"Analyze the following code and choose the best answer:

public class Foo {
  private int x;

  public static void main(String[] args) {
    Foo foo = new Foo();
    System.out.println(foo.x);
  }
}","Since x is private, it cannot be accessed from an object foo","Since x is defined in the class Foo, it can be accessed by any method inside the class without using an object. You can write the code to access x without creating an object such as foo in this code","Since x is an instance variable, it cannot be directly used inside a main method. However, it can be accessed through an object such as foo in this code","You cannot create a self-referenced object; that is, foo is created inside the class Foo",,,C,,1,0
A top level class may have only the following access modifier. Select the one correct answer,friendly,private,protected,public,,,D,,0,0
"8、 给出下面的代码段
public class Base{
int x, y;
static int z;
public Base(int a,int b)
  {  x=a; y=b;  }
}
以下代码错误的是?【    】","Base b=new Base();    
b.z=10;
","Base b=new Base(1,2); 
b.z=10;
",Base.z=10;,"Base b=new Base(1,2);
b.x=2;
",,,A,,0,0
"6、 已知如下类说明
public class Test {
private float f = 1.0;
int m = 12;
static int n=1;
public static void main(String arg[]) {
Test t = new Test();
____________________________.
} }
在空格处如下哪个使用是错误的?【    】
",t.f,this.m,t.m,n,,,B,,0,0
下以下哪个类能正确编译?【    】,"class k{
  abstract  void b(){ }
 }
","abstract class k{
   void b(){  }
 }
","abstract class k{
   abstract void b(){}
}
","abstract class k{
  final abstract void b();
}
",,,B,,1,0
实现接口用哪个关键字【    】,interface,package,implements,extends,,,C,,1,0
"To prevent a class from being instantiated, ____________",don't use any modifiers on the constructor,use the public modifier on the constructor,use the private modifier on the constructor,use the static modifier on the constructor,,,C,,0,0
"public class Base{
int x;
static int z;
public Base()
  {  z++;(1)}
Public static void main(String[] args){
   int y;
   Base b=new Base();
   System.out.print(Base.z);(20)   System.out.print(x);(3)
   System.out.print(y);(4)
}
}
会出错的语句是【    】
",(1),(2),(3),(4),,,C,,0,0
"在Java中,能实现多重继承效果的方式是(         )",内部类,适配器,接口,同步,,,C,,0,0
"成员变量的属性有private、public、缺省、protected四种,若类A中有一个成员变量为m,类B为A同一个包的子类,类C为A的不同包的子类,则变量m定义为(  )属性,在B中能访问到m,但是在C中却访问不到.【    】",private,public,缺省,protected,,,C,,1,0
"编译并运行以下程序,以下描述哪个选项是正确的( )
1: class X{
2: protected String toString(){
3: return super.toString();}
4: }",编译通过运行无异常,编译通过但运行时出错,"行2出错,不能成功编译","不能成功编译,行3出错",,,C,,1,0
"Which statements are most accurate regarding the following classes?

class A {
  private int i;
  protected int j;
}

class B extends A {
  private int k;
  protected int m;
}","An object of B contains data fields i, j, k, m","An object of B contains data fields j, k, m","An object of B contains data fields j, m","An object of B contains data fields  k, m",,,B,,1,0
Which of the following statements are true?,Methods cannot be overriden to be more private,static methods cannot be overloaded,private methods cannot be overloaded,An overloaded method cannot throw exceptions not checked in the base class,,,A,A,0,0
Which of the following statements are true?,A method cannot be overloaded to be less public in a child class,To be overridden a method only needs the same name and parameter types,"To be overridden a method must have the same name, parameter and return types","An overridden method must have the same name, parameter names and parameter types",,,C,,0,0
Which of the following statements are true?,Static methods cannot be overriden to be non static,Static methods cannot be declared as private,Private methods cannot be overloaded,An overloaded method cannot throw exceptions not checked in the base class,,,A,A,0,0
Which of the following statements are true,constructors cannot be overloaded,constructors cannot be overridden,a constructor can return a primitive or an object reference,constructor code executes from the current class up the hierarchy to the ancestor class,,,B,,1,0
"Which of the following methods can be legally inserted in place of the comment //Method Here ? 

class Base{ public void amethod(int i) { }}public class Scope extends Base{ public static void main(String argv[]){ } //Method Here}",void amethod(int i) throws Exception {},void amethod(long i){},void amethod(int i) { },public void amethod(int i) throws Exception {},,,B,C,1,0
Which of the following classes cannot be extended?,class A { },class A {   private A();},final class A { },class A {   protected A();},,,C,,0,0
Which is true?,"""X extends Y"" is correct if and only if X is a class and Y is an interface","""X extends Y"" is correct if and only if X is an interface and Y is a class","""X extends Y"" is correct if X and Y are either both classes or both interfaces","""X extends Y"" is correct for all combinations of X and Y being classes and/or interfaces",,,C,D,1,0
"What will happen when you attempt to compile and run this code?

abstract class Base{        
abstract public void myfunc();        
public void another(){        System.out.println(""Another method"");        }}
public class Abs extends Base{        
public static void main(String argv[]){        Abs a = new Abs();        
a.amethod();        }        
public void myfunc(){                System.out.println(""My Func"");                }         
public void amethod(){        
myfunc();              
}}","The code will compile and run, printing out the words ""My Func""",The compiler will complain that the Base class has non abstract methods,The code will compile but complain at run time that the Base class has non abstract methods,"The compiler will complain that the method myfunc in the base class has no body, nobody at all to looove it",,,A,D,1,0
"What will happen when you attempt to compile and run the following code?

class Base{
Base(){
        System.out.println(""Base"");
        }
}

public class Checket extends Base{
public static void main(String argv[]){
        Checket c = new Checket();
        super();
        }

Checket(){
        System.out.println(""Checket"");  
        }       
}",Compile time error,Checket followed by Base,Base followed by Checket,runtime error,,,A,,0,0
"What will happen when you attempt to compile and run the following code

class Base{
    public void Base(){
 System.out.println(""Base"");
    }
}
public class In extends Base{
    public static void main(String argv[]){
 In i=new In();
    }
}",Compile time error Base is a keyword,Compilation and no output at runtime,Output of Base,Runtime error Base has no valid constructor,,,B,,0,0
"What will happen when you attempt to compile and run the following code 

class Base{    
private void amethod(int iBase){
System.out.println(""Base.amethod"");    }}
class Over extends Base{   
 public static void main(String argv[]){ 
Over o = new Over(); 
int iBase=0;
 o.amethod(iBase);  
  }    
public void amethod(int iOver){ 
System.out.println(""Over.amethod"");   
 }}",Compile time error complaining that Base.amethod is private,Runtime error complaining that Base.amethod is private,"Output of ""Base.amethod""","Output of ""Over.amethod""",,,D,,0,0
"What will happen when you attempt to compile and run the following class?

class Base{
Base(int i){
    System.out.println(""Base"");
    }
}
class Severn extends Base{
public static void main(String argv[]){
        Severn s = new Severn();
    }
void Severn(){
         System.out.println(""Severn"");
    }
}","Compilation and output of the string ""Severn"" at runtime","Compile time error
",Compilation and no output at runtime,"Compilation and output of the string ""Base""",,,B,,0,0
"What is the output of running class C?

class A {
  public A() {
    System.out.println(
      ""The default constructor of A is invoked"");
  }
}

class B extends A {
  public B() {
    System.out.println(
      ""The default constructor of B is invoked"");
  }
}

public class C  {
  public static void main(String[] args) {
    B b = new B();
  }
}",Nothing displayed,"""The default constructor of B is invoked""","""The default constructor of A is invoked""""The default constructor of B is invoked""","""The default constructor of B is invoked""""The default constructor of A is invoked""",,,C,,1,0
"Suppose you create a class Cylinder to be a subclass of Circle. Analyze the following code:

class Cylinder extends Circle {
  double length;
  
  Cylinder(double radius) {
     Circle(radius);
  }
}","The program compiles fine, but you cannot create an instance of Cylinder because the constructor does not specify the length of the cylinder",The program has a compile error because you attempted to invoke the Circle class's constructor illegally,"The program compiles fine, but it has a runtime error because of invoking the Circle class's constructor illegally",The program compiles and run fine,,,B,,0,0
Object-oriented programming allows you to derive new classes from existing classes. This is called ________,encapsulation,inheritance,abstraction,generalization,,,B,,0,0
下面说法正确的是?,"一个子类可以有多个父类,一个父类也可以有多个子类","一个子类可以有多个父类,但一个父类只可以有一个子类","一个子类可以有一个父类,但一个父类可以有多个子类
",上述说法都不对,,,C,,0,0
Inheritance means _______,that data fields should be declared private,that a class can extend another class,that a variable of supertype can refer to a subtype object,that a class can contain another class,,,B,,0,0
"Given:
public abstract interface Frobnicate { public void twiddle(String s); }
Which is a correct class?","public abstract class Frob implements Frobnicate {
public abstract void twiddle(String s) { }
}",public abstract class Frob implements Frobnicate { },"public class Frob extends Frobnicate {
public void twiddle(Integer i) { }
}","public class Frob implements Frobnicate {
public void twiddle(Integer i) { }
}",,,B,,0,0
"Given:
class Clidder {
private final void flipper() { System.out.println(""Clidder""); }
}
public class Clidlet extends Clidder {
public final void flipper() { System.out.println(""Clidlet""); }
public static void main(String [] args) {
new Clidlet().flipper();
} }
What is the result?",Clidlet,Clidder,"Clidder
Clidlet","Clidlet
Clidder",,,A,,0,0
"Given:
3. class Building {
4. Building() { System.out.print(""b ""); }
5. Building(String name) {
6. this(); System.out.print(""bn "" + name);
7. }
8. }
9. public class House extends Building {
10. House() { System.out.print(""h ""); }
11. House(String name) {
12. this(); System.out.print(""hn "" + name);
13. }
14. public static void main(String[] args) { new House(""x ""); }
15. }
What is the result?",h hn x,hn x h,b h hn x,b hn x h,,,C,,0,0
"Given:
3. class Alpha {
4. static String s = "" "";
5. protected Alpha() { s += ""alpha ""; }
6. }
7. class SubAlpha extends Alpha {
8. private SubAlpha() { s += ""sub ""; }
9. }
10. public class SubSubAlpha extends Alpha {
11. private SubSubAlpha() { s += ""subsub ""; }
12. public static void main(String[] args) {
13. new SubSubAlpha();
14. System.out.println(s);
15. }
16. }
What is the result?",subsub,sub subsub,alpha subsub,alpha sub subsub,,,C,D,1,0
"Given:
1. public class Electronic implements Device
2.{ public void doIt() { } }
3. abstract class Phone1 extends Electronic { }
5. abstract class Phone2 extends Electronic
6.{ public void doIt(int x) { } }
7. class Phone3 extends Electronic implements Device
8.{ public void doStuff() { } }
9. interface Device { public void doIt(); }
What is the result?",Compilation succeeds,Compilation fails with an error on line 1,Compilation fails with an error on line 3,Compilation fails with an error on line 5,,,A,,0,0
"Given:
1. public class Blip {
2. protected int blipvert(int x) { return 0; }
3. }
4. class Vert extends Blip {
5. // insert code here
6. }
Which method, inserted independently at line 5, will compile?",private int blipvert(int x) { return 0; },protected long blipvert(int x) { return 0; },public int blipvert(int x) { return 0; },public long blipvert(int x) { return 0; },,,C,,0,0
"Given:
1. public abstract class Shape {
2. private int x;
3. private int y;
4. public abstract void draw();
5. public void setAnchor(int x, int y) {
6. this.x = x;
7. this.y = y;
8. }
9. }
Which  class use the Shape class correctly?",public class Circle implements Shape {private int radius; },public abstract class Circle extends Shape { private int radius; },public class Circle extends Shape { private int radius; public void draw(); },public abstract class Circle implements Shape { private int radius; public void draw(); },,,B,,0,0
"Given the following code how could you invoke the Base constructor that will print out the string ""base constructor""; 
class Base{   
 Base(int i){
 System.out.println(""base constructor"");    }    
Base(){    }
}
public class Sup extends Base{    
public static void main(String argv[]){ 
Sup s= new Sup(); 
//One    
}    
Sup()    { 
//Two    
}    
public void derived()    {
 //Three   
 }}",On the line After //One put Base(10);,On the line After //One put super(10);,On the line After //Two put super(10);,On the line After //Three put super(10);,,,C,,0,0
"Analyze the following code:

public class Test { 
  public static void main(String[] args) {
    B b = new B();
    b.m(5);
    System.out.println(""i is "" + b.i);
  }
}

class A {
  int i;

  public void m(int i) {
    this.i = i;
  }
}

class B extends A {
  public void m(String s) {
  }
}","The program has a compilation error, because m is overridden with a different signature in B","The program has a compilation error, because b.m(5) cannot be invoked since the method m(int) is hidden in B","The program has a runtime error on b.i, because i is not accessible from b",The method m is not overridden in B. B inherits the method m from A and defines an overloaded method m in B,,,D,,0,0
一个JAVA类最多可以继承的父类个数为【    】个,1,2,3,多个,,,A,,0,0
"给出下面的代码段
class b 
{  int n=1;
  void disp(){ System.out.print (n); }
}
class c extends b
{  int n=2;
  void disp(){
     super.disp();     System.out.print(super.n);     System.out.print(n);
  }
 public static void main(String[] args) 
 {  (new c()).disp();
 } };
运行结果哪项是正确的？【    】",112,222,111,221,,,A,,0,0
"在 Java 中,所有类的根类是(            )",java.lang.Object,java.lang.Class,java.applet.Applet,java.awt.Frame,,,A,,0,0
以下哪项是接口的正确定义?,"interface B

{ void print() { } ;}","abstract interface B
{ void print() ;}","abstract interface B extends A1,A2 //A1、A2为已定义的接口

{ abstract void print(){ };}","interface B

{ void print();}",,,D,,0,0
"下面是People和Child类的定义和构造方法，每个构造方法都输出编号。在执行new Child(""mike"")的时候都有哪些构造方法被顺序调用？请选择输出结果 ( )
class People {
String name;
public People() { System.out.print(1); }
public People(String name) {
System.out.print(2);
this.name = name;
}
}

class Child extends People {
People father;
public Child(String name) {
System.out.print(3);
this.name = name;
father = new People(name + "":F"");
}
public Child(){ System.out.print(4); }
}",312,32,13,132,,,D,,0,0
"出下面的代码__ _______ __。
class Person{
String name,department;
public void printValue(){
System.out.println(“name is”+name);
}
}
public class Teacher extends Person{
int salary;
public void printValue(){
_______________________
System.out.println(“salary is”+ salary);
}
}
下面的哪个表达式可以加入到Teacher类的printValue()方法中。______",printValue();,"this.printValue();
",person.printValue();,"super.printValue();
",,,D,,0,0
" 有如下代码：
//A.java
class A {
int x;
public A(int x){
  this.x=x;}
}
//B.java
class B extends A{
String name;
public B(String name){
x=10;
   this.name=name;
}
public static void main(String[] args){
    B b=new B(""tom"");
    System.out.println(b.name +b.x);
}
}
以下说法正确的是【    】","编译B通过,运行B,输出:tom10;","编译B通过,运行B失败,因为b.name +b.x中字符串不能与整型相加","编译B失败,因为b.name +b.x中字符串不能与整型相加","编译B失败,因为A中没有无参构造函数",,,D,,0,0
"看下面一段程序： 
　　class Aclass{ 
　　　void go(){ 
　　　　System.out.println(""Aclass"");
　　　} 
　　} 
　　public class Bclass extends Aclass{ 
　　　void go{ 
　　　　System.out.println(""Bclass""); 
　　　} 
　　public static void main(String args[]){ 
　　　Aclass a=new Aclass(); 
　　　Aclass a1=new Bclass(); 
　　a.go(); 
　　a1.go(); 
　　} 
以上程序运行结果是：","Aclass 
 Aclass 
","Aclass 
 Bclass","Bclass 
 Aclass","Bclass 
 Bclass",,,B,,0,0
"假设类A是类B的父类,下列声明对象x的语句中不正确的是",A x=new A();,"A x=new B();
",B x=new B();,B x=new A();,,,D,,1,0
"What is the output of the following code?

public class Test {
  public static void main(String[] args) {
    new Person().printPerson();
    new Student().printPerson();
  }
}

class Student extends Person {
  public String getInfo() {
    return ""Student"";
  }
}

class Person {
  public String getInfo() {
    return ""Person"";
  }
  
  public void printPerson() {
    System.out.println(getInfo());
  }
}",Person Person,Person Student,Stduent Student,Student Person,,,B,,0,0
Polymorphism means ___________,that data fields should be declared private,that a class can extend another class,that a variable of supertype can refer to a subtype object,that a class can contain another class,,,C,,0,0
"In implementing two classes Employee and Manager, such that each Manager is an Employee, what should be the relationship between these classes. Select the one correct answer",Employee should be the base class of Manager class,Manager should be the base class of Employee class,Manager class should include the Employee class as a data member,Employee class should include Manager class as a data member,,,A,,0,0
"Given:
3. public class Tenor extends Singer {
4. public static String sing() { return ""fa""; }
5. public static void main(String[] args) {
6. Tenor t = new Tenor();
7. Singer s = new Tenor();
8. System.out.println(t.sing() + "" "" + s.sing());
9. }
10. }
11. class Singer { public static String sing() { return ""la""; } }
What is the result?",fa fa,fa la,la la,Compilation fails,,,B,,0,0
"Given:
3. class Mammal {
4. String name = ""furry "";
5. String makeNoise() { return ""generic noise""; }
6. }
7. class Zebra extends Mammal {
8. String name = ""stripes "";
9. String makeNoise() { return ""bray""; }
10. }
11. public class ZooKeeper {
12. public static void main(String[] args) { new ZooKeeper().go(); }
13. void go() {
14. Mammal m = new Zebra();
15. System.out.println(m.name + m.makeNoise());
16. }
17. }
What is the result?",furry bray,stripes bray,furry generic noise,stripes generic noise,,,A,A,0,0
"Given:
1. class Foo {
2. public int a = 3;
3. public void addFive() { a += 5; System.out.print(""f ""); }
4. }
5. class Bar extends Foo {
6. public int a = 8;
7. public void addFive() { this.a += 5; System.out.print(""b "" ); }
8. }
Invoked with: Foo f = new Bar(); f.addFive(); System.out.println(f.a);
What is the result?",b 3,b 8,b 13,f 3,,,A,,0,0
"Given the following code
class Base {}
class Agg extends Base{
        public String getFields(){
         String name =  ""Agg"";
        return name;
        }
}
public class Avf{
public static void main(String argv[]){
        Base a = new Agg();
        //Here
        }
}
What code placed after the comment //Here will result in calling the getFields method resulting in the output of the string ""Agg""?",System.out.println(a.getFields());,System.out.println(a.name);,System.out.println((Base) a.getFields());,System.out.println( ((Agg) a).getFields());,,,D,D,0,0
"A派生出子类B,B派生出子类C,并且在Java源代码中有如下声明:

1. A a0=new A();
2. A a1 =new B();
3. A a2=new C();
问以下哪个说法是正确的? 
","只有第1行能通过编译
","第1、2行能通过编译,但第3行编译出错
","第1、2、3行能通过编译,但第2、3行运行时出错
","第1行、第2行和第3行的声明都是正确的
",,,D,,0,0
"
下面的代码是文件Example.java的内容,该内容在编译时将出现一个错误:  
1) class SubClass extends BaseClass{    
2) }   3) class BaseClass(){   
4) String str;  
5) public BaseClass(){    
6) System.out.println(""ok"");}   
7) public BaseClass(String s){   
8) str=s;}}  
9) public class Example{   
10) public void method(){   
11) SubClass s=new SubClass(""hello"");  
12) BaseClass b=new BaseClass(""world"");   
13) }  
14) }   
哪一行将引起错误?",9,10,11,12,,,C,,1,0
"What happens when you try to compile and run the following application? Choose all correct options.     
1. public class Z {       
2. public static void main(String[] args) {       
3. new Z();      
4. }       
5.       
6. Z() {       
7. Z alias1 = this;       
8. Z alias2 = this;       
9. synchronized(alias1) {       
10. try {       
11. alias2.wait();       
12. System.out.println(""DONE WAITING"");       
13. }       
14. catch (InterruptedException e) {       
15. System.out.println(""INTERR  UPTED"");       
16. }       
17. catch (Exception e) {         
18. System.out.println(""OTHER EXCEPTION"");       
19. }      
20. finally {       
21. System.out.println (""FINALLY"");       
22. }       
23. }       
24. System.out.println(""ALL DONE"");      
25. }       
26. }",The application compiles but doesn't print anything.,"The application compiles and print ""DONE WAITING"".","The application compiles and print ""FINALLY"".","The application compiles and print ""ALL DONE"".","The application compiles and print ""INTERRUPTED""",,A,,1,0
"public class test{         
public static string output='';         
public static void        
foo(inti){         
try {         
if(i==1){         
throw new exception();         
}         
output +='1';         
}          
catch(exception e){         
output+='2';         
return;         
}         
finally{         
output+='3';         
}         
output+='4';         
}         
public static void main(string args[]){         
foo(0);         
foo(1);         
24)         
}         
}         
what is the value of output at line 24?",1234,13423,1324,234,,,B,,0,0
